Epoch,Alarm,Set,ACC,AUC,FN,FP,Score,TN,TNR,TP,TPR,Total,loss
0,train,--,0.6672,0.5861,777,609,0.3821,1932,0.7603,847,0.5216,4165,0.6916
0,test,--,0.6645,0.5865,210,154,0.3745,497,0.7634,224,0.5161,1085,0.6916
0,train,--,0.1753,0.6584,0,560,0.1753,0,0.0,119,1.0,679,--
0,test,--,0.2,0.8036,0,140,0.2,0,0.0,35,1.0,175,--
0,train,--,0.4857,0.6275,252,0,0.1589,238,1.0,0,0.0,490,--
0,test,--,0.4737,0.6039,70,0,0.1525,63,1.0,0,0.0,133,--
0,train,--,0.9369,0.5033,0,49,0.9369,0,0.0,728,1.0,777,--
0,test,--,0.931,0.0635,0,14,0.931,0,0.0,189,1.0,203,--
0,train,--,0.9111,0.3545,28,0,0.6721,287,1.0,0,0.0,315,--
0,test,--,0.8462,0.6331,14,0,0.5238,77,1.0,0,0.0,91,--
0,train,--,0.739,0.5893,497,0,0.3615,1407,1.0,0,0.0,1904,--
0,test,--,0.7391,0.6203,126,0,0.3617,357,1.0,0,0.0,483,--
Epoch,Alarm,Set,ACC,AUC,FN,FP,Score,TN,TNR,TP,TPR,Total,loss
1,train,--,0.655,0.7196,1381,56,0.2816,2485,0.978,243,0.1496,4165,0.6866
1,test,--,0.5945,0.7332,434,6,0.2286,645,0.9908,0,0.0,1085,0.7209
1,train,--,0.8189,0.6429,119,4,0.4814,556,0.9929,0,0.0,679,--
1,test,--,0.8,0.7929,35,0,0.4444,140,1.0,0,0.0,175,--
1,train,--,0.5367,0.6941,203,24,0.202,214,0.8992,49,0.1944,490,--
1,test,--,0.4286,0.7345,70,6,0.138,57,0.9048,0,0.0,133,--
1,train,--,0.2741,0.6856,557,7,0.0709,42,0.8571,171,0.2349,777,--
1,test,--,0.069,0.6187,189,0,0.0146,14,1.0,0,0.0,203,--
1,train,--,0.9048,0.3172,28,2,0.6674,285,0.993,0,0.0,315,--
1,test,--,0.8462,0.8599,14,0,0.5238,77,1.0,0,0.0,91,--
1,train,--,0.7411,0.6046,474,19,0.3713,1388,0.9865,23,0.0463,1904,--
1,test,--,0.7391,0.6099,126,0,0.3617,357,1.0,0,0.0,483,--
